"Index","GSPC.Adjusted","AAA","DGS1","GSPC.Adjusted.1"
"1990-03-09",337.929993,9.37,8.46,-0.0069006350567431
"1990-03-12",338.670013,9.37,8.44,0.00218746759834954
"1990-03-13",336,9.37,8.48,-0.00791506036380962
"1990-03-14",336.869995,9.37,8.41,0.00258592444683181
"1990-03-15",338.070007,9.37,8.41,0.00355591092810226
"1990-03-16",341.910004,9.37,8.36,0.0112945608966006
"1990-03-19",343.529999,9.37,8.38,0.00472688494766516
"1990-03-20",341.570007,9.37,8.38,-0.00572178464501683
"1990-03-21",339.73999,9.37,8.39,-0.00537206678049618
"1990-03-22",335.690002,9.37,8.32,-0.0119924687583488
"1990-03-23",337.220001,9.37,8.29,0.00454741831671601
"1990-03-26",337.630005,9.37,8.3,0.0012150968268525
"1990-03-27",341.5,9.37,8.35,0.011397042868734
"1990-03-28",342,9.37,8.33,0.00146305805176006
"1990-03-29",340.790009,9.37,8.36,-0.00354425885173004
"1990-03-30",339.940002,9.37,8.35,-0.00249734087827846
"1990-04-02",338.700012,9.46,8.34,-0.00365434207928672
"1990-04-03",343.640015,9.46,8.32,0.0144798461668767
"1990-04-04",341.089996,9.46,8.27,-0.00744828106830653
"1990-04-05",340.730011,9.46,8.28,-0.00105595327140229
"1990-04-06",340.079987,9.46,8.26,-0.00190956125624275
"1990-04-09",341.369995,9.46,8.29,0.00378607256592822
"1990-04-10",342.070007,9.46,8.29,0.00204849655490502
"1990-04-11",341.920013,9.46,8.28,-0.00043858535364194
"1990-04-12",344.339996,9.46,8.29,0.00705270014047432
"1990-04-16",344.73999,9.46,8.29,0.00116095098697677
"1990-04-17",344.679993,9.46,8.38,-0.000174050656003288
"1990-04-18",340.720001,9.46,8.49,-0.011555401512954
"1990-04-19",338.089996,9.46,8.46,-0.00774890815286877
"1990-04-20",335.119995,9.46,8.44,-0.00882345867830026
"1990-04-23",331.049988,9.46,8.5,-0.0122192765961975
"1990-04-24",330.359985,9.46,8.55,-0.00208646158505044
"1990-04-25",332.029999,9.46,8.57,0.0050423997306428
"1990-04-26",332.920013,9.46,8.64,0.00267693665816804
"1990-04-27",329.109985,9.46,8.57,-0.011510264115187
"1990-04-30",330.799988,9.46,8.58,0.00512193106271308
"1990-05-01",332.25,9.47,8.56,0.00437377071951506
"1990-05-02",334.480011,9.47,8.63,0.00668942234182346
"1990-05-03",335.570007,9.47,8.62,0.00325347938869491
"1990-05-04",338.390015,9.47,8.43,0.00836852147168798
"1990-05-07",340.529999,9.47,8.44,0.00630410370319723
"1990-05-08",342.01001,9.47,8.4,0.00433678114136615
"1990-05-09",342.859985,9.47,8.4,0.00248215118957429
"1990-05-10",343.820007,9.47,8.33,0.00279612814313879
"1990-05-11",352,9.47,8.21,0.0235128906252591
"1990-05-14",354.75,9.47,8.2,0.00778214044205505
"1990-05-15",354.279999,9.47,8.23,-0.00132575792139544
"1990-05-16",354,9.47,8.23,-0.000790644984982158
"1990-05-17",354.470001,9.47,8.24,0.00132680584438649
"1990-05-18",354.640015,9.47,8.31,0.00047951375504951
"1990-05-21",358,9.47,8.3,0.0094297536674901
"1990-05-22",358.429993,9.47,8.22,0.00120037702450482
"1990-05-23",359.290009,9.47,8.17,0.00239652346100439
"1990-05-24",358.410004,9.47,8.16,-0.00245229322856488
"1990-05-25",354.579987,9.47,8.23,-0.0107436398505056
"1990-05-29",360.649994,9.47,8.23,0.0169739885059146
"1990-05-30",360.859985,9.47,8.2,0.000582087599730663
"1990-05-31",361.230011,9.47,8.22,0.00102487511096516
